iso3,country,year,species,population,flag
AUS,Australia,1990,"Camels",684,
AUS,Australia,1990,"Cattle",24838232,
AUS,Australia,1990,"Cattle, dairy",2561935,
AUS,Australia,1990,"Cattle, non-dairy",22276297,
AUS,Australia,1990,"Goats",660600,
AUS,Australia,1990,"Horses",359270,
AUS,Australia,1990,"Mules and Asses",2734,
AUS,Australia,1990,"Sheep and Goats",174398638,
AUS,Australia,1990,"Sheep",173738038,
AUS,Australia,1990,"Swine",2689936,
AUS,Australia,1991,"Buffaloes",18623,
AUS,Australia,1991,"Camels",1042,
AUS,Australia,1991,"Cattle",25381091,
AUS,Australia,1991,"Cattle, dairy",2496951,
AUS,Australia,1991,"Cattle, non-dairy",22884140,
AUS,Australia,1991,"Goats",530476,
AUS,Australia,1991,"Horses",347014,
AUS,Australia,1991,"Mules and Asses",3326,
AUS,Australia,1991,"Sheep and Goats",167056883,
AUS,Australia,1991,"Sheep",166526407,
AUS,Australia,1991,"Swine",2572224,
AUS,Australia,1992,"Buffaloes",12992,
AUS,Australia,1992,"Camels",1746,
AUS,Australia,1992,"Cattle",25326346,
AUS,Australia,1992,"Cattle, dairy",2500451,
AUS,Australia,1992,"Cattle, non-dairy",22825894,
AUS,Australia,1992,"Goats",411322,
AUS,Australia,1992,"Horses",334767,
AUS,Australia,1992,"Mules and Asses",4010,
AUS,Australia,1992,"Sheep and Goats",151372143,
AUS,Australia,1992,"Sheep",150960821,
AUS,Australia,1992,"Swine",2618827,
AUS,Australia,1993,"Buffaloes",11372,
AUS,Australia,1993,"Camels",1830,
AUS,Australia,1993,"Cattle",25180202,
AUS,Australia,1993,"Cattle, dairy",2531871,
AUS,Australia,1993,"Cattle, non-dairy",22648331,
AUS,Australia,1993,"Goats",286127,
AUS,Australia,1993,"Horses",314833,
AUS,Australia,1993,"Mules and Asses",2889,
AUS,Australia,1993,"Sheep and Goats",140817123,
AUS,Australia,1993,"Sheep",140530997,
AUS,Australia,1993,"Swine",2672176,
AUS,Australia,1994,"Buffaloes",11563,
AUS,Australia,1994,"Camels",1549,
AUS,Australia,1994,"Cattle",25757617,
AUS,Australia,1994,"Cattle, dairy",2677639,
AUS,Australia,1994,"Cattle, non-dairy",23079978,
AUS,Australia,1994,"Goats",231567,
AUS,Australia,1994,"Horses",294353,
AUS,Australia,1994,"Mules and Asses",2501,
AUS,Australia,1994,"Sheep and Goats",132800753,
AUS,Australia,1994,"Sheep",132569186,
AUS,Australia,1994,"Swine",2775280,
AUS,Australia,1995,"Buffaloes",10880,
AUS,Australia,1995,"Camels",1068,
